sci_name,category,category_pt,risco
Allenopithecus nigroviridis,LC,Pouco Preocupante,Baixo Risco
Allocebus trichotis,EN,Em Perigo,Alto Risco
Alouatta pigra,EN,Em Perigo,Alto Risco
Alouatta ululata,EN,Em Perigo,Alto Risco
Alouatta juara,LC,Pouco Preocupante,Baixo Risco
Aotus miconax,EN,Em Perigo,Alto Risco
Aotus griseimembra,VU,Vulnerável,Alto Risco
Aotus lemurinus,VU,Vulnerável,Alto Risco
Arctocebus aureus,LC,Pouco Preocupante,Baixo Risco
Arctocebus calabarensis,NT,Quase Ameaçado,Médio Risco
Ateles belzebuth,EN,Em Perigo,Alto Risco
Ateles geoffroyi,EN,Em Perigo,Alto Risco
Ateles marginatus,EN,Em Perigo,Alto Risco
Ateles paniscus,VU,Vulnerável,Alto Risco
Avahi laniger,VU,Vulnerável,Alto Risco
Avahi occidentalis,VU,Vulnerável,Alto Risco
Brachyteles arachnoides,CR,Criticamente Ameaçado,Alto Risco
Brachyteles hypoxanthus,CR,Criticamente Ameaçado,Alto Risco
Cacajao calvus,LC,Pouco Preocupante,Baixo Risco
Cacajao ucayalii,VU,Vulnerável,Alto Risco
Cacajao novaesi,NT,Quase Ameaçado,Médio Risco
Cacajao rubicundus,LC,Pouco Preocupante,Baixo Risco
Plecturocebus dubius,LC,Pouco Preocupante,Baixo Risco
Plecturocebus oenanthe,CR,Criticamente Ameaçado,Alto Risco
Plecturocebus olallae,CR,Criticamente Ameaçado,Alto Risco
Callicebus personatus,VU,Vulnerável,Alto Risco
Callimico goeldii,VU,Vulnerável,Alto Risco
Callithrix aurita,EN,Em Perigo,Alto Risco
Callithrix flaviceps,CR,Criticamente Ameaçado,Alto Risco
Callithrix geoffroyi,LC,Pouco Preocupante,Baixo Risco
Callithrix kuhlii,VU,Vulnerável,Alto Risco
Sapajus xanthosternos,CR,Criticamente Ameaçado,Alto Risco
Cebus cuscinus,NT,Quase Ameaçado,Médio Risco
Cebus yuracus,NT,Quase Ameaçado,Médio Risco
Cebus aequatorialis,CR,Criticamente Ameaçado,Alto Risco
Cebus cesarae,EN,Em Perigo,Alto Risco
Cebus malitiosus,EN,Em Perigo,Alto Risco
Cebus trinitatis,CR,Criticamente Ameaçado,Alto Risco
Cercocebus galeritus,CR,Criticamente Ameaçado,Alto Risco
Cercocebus torquatus,EN,Em Perigo,Alto Risco
Cercocebus sanjei,EN,Em Perigo,Alto Risco
Cercocebus lunulatus,EN,Em Perigo,Alto Risco
Cercocebus chrysogaster,EN,Em Perigo,Alto Risco
Cercopithecus ascanius,LC,Pouco Preocupante,Baixo Risco
Cercopithecus cephus,LC,Pouco Preocupante,Baixo Risco
Chlorocebus dryas,EN,Em Perigo,Alto Risco
Cercopithecus erythrogaster,EN,Em Perigo,Alto Risco
Cercopithecus erythrotis,VU,Vulnerável,Alto Risco
Cercopithecus hamlyni,VU,Vulnerável,Alto Risco
Allochrocebus lhoesti,VU,Vulnerável,Alto Risco
Cercopithecus mitis,LC,Pouco Preocupante,Baixo Risco
Cercopithecus mona,NT,Quase Ameaçado,Médio Risco
Cercopithecus neglectus,LC,Pouco Preocupante,Baixo Risco
Cercopithecus nictitans,NT,Quase Ameaçado,Médio Risco
Cercopithecus petaurista,NT,Quase Ameaçado,Médio Risco
Allochrocebus preussi,EN,Em Perigo,Alto Risco
Cercopithecus sclateri,EN,Em Perigo,Alto Risco
Allochrocebus solatus,NT,Quase Ameaçado,Médio Risco
Cercopithecus roloway,CR,Criticamente Ameaçado,Alto Risco
Chlorocebus djamdjamensis,VU,Vulnerável,Alto Risco
Cercopithecus diana,EN,Em Perigo,Alto Risco
Chiropotes albinasus,VU,Vulnerável,Alto Risco
Colobus angolensis,VU,Vulnerável,Alto Risco
Colobus guereza,LC,Pouco Preocupante,Baixo Risco
Colobus polykomos,EN,Em Perigo,Alto Risco
Colobus satanas,VU,Vulnerável,Alto Risco
Colobus vellerosus,CR,Criticamente Ameaçado,Alto Risco
Daubentonia madagascariensis,EN,Em Perigo,Alto Risco
Eulemur coronatus,EN,Em Perigo,Alto Risco
Eulemur mongoz,CR,Criticamente Ameaçado,Alto Risco
Eulemur rubriventer,VU,Vulnerável,Alto Risco
Eulemur albifrons,VU,Vulnerável,Alto Risco
Eulemur cinereiceps,CR,Criticamente Ameaçado,Alto Risco
Eulemur collaris,EN,Em Perigo,Alto Risco
Eulemur fulvus,VU,Vulnerável,Alto Risco
Eulemur rufus,VU,Vulnerável,Alto Risco
Eulemur sanfordi,EN,Em Perigo,Alto Risco
Eulemur flavifrons,CR,Criticamente Ameaçado,Alto Risco
Eulemur macaco,EN,Em Perigo,Alto Risco
Euoticus elegantulus,LC,Pouco Preocupante,Baixo Risco
Euoticus pallidus,NT,Quase Ameaçado,Médio Risco
Sciurocheirus alleni,NT,Quase Ameaçado,Médio Risco
Galago gallarum,LC,Pouco Preocupante,Baixo Risco
Galago matschiei,LC,Pouco Preocupante,Baixo Risco
Galago moholi,LC,Pouco Preocupante,Baixo Risco
Galago senegalensis,LC,Pouco Preocupante,Baixo Risco
Paragalago zanzibaricus,NT,Quase Ameaçado,Médio Risco
Gorilla gorilla,CR,Criticamente Ameaçado,Alto Risco
Hapalemur aureus,CR,Criticamente Ameaçado,Alto Risco
Hapalemur griseus,VU,Vulnerável,Alto Risco
Prolemur simus,CR,Criticamente Ameaçado,Alto Risco
Hapalemur alaotrensis,CR,Criticamente Ameaçado,Alto Risco
Hapalemur occidentalis,VU,Vulnerável,Alto Risco
Hylobates agilis,EN,Em Perigo,Alto Risco
Hylobates klossii,EN,Em Perigo,Alto Risco
Hylobates lar,EN,Em Perigo,Alto Risco
Hylobates moloch,EN,Em Perigo,Alto Risco
Hylobates pileatus,EN,Em Perigo,Alto Risco
Indri indri,CR,Criticamente Ameaçado,Alto Risco
Lemur catta,EN,Em Perigo,Alto Risco
Leontopithecus caissara,EN,Em Perigo,Alto Risco
Leontopithecus chrysopygus,EN,Em Perigo,Alto Risco
Leontopithecus rosalia,EN,Em Perigo,Alto Risco
Lepilemur edwardsi,EN,Em Perigo,Alto Risco
Lepilemur leucopus,EN,Em Perigo,Alto Risco
Lepilemur microdon,EN,Em Perigo,Alto Risco
Lepilemur mustelinus,VU,Vulnerável,Alto Risco
Lepilemur ruficaudatus,CR,Criticamente Ameaçado,Alto Risco
Lepilemur septentrionalis,CR,Criticamente Ameaçado,Alto Risco
Lophocebus albigena,VU,Vulnerável,Alto Risco
Lophocebus aterrimus,VU,Vulnerável,Alto Risco
Loris tardigradus,EN,Em Perigo,Alto Risco
Macaca arctoides,VU,Vulnerável,Alto Risco
Macaca assamensis,NT,Quase Ameaçado,Médio Risco
Macaca cyclopis,LC,Pouco Preocupante,Baixo Risco
Macaca fascicularis,EN,Em Perigo,Alto Risco
Macaca fuscata,LC,Pouco Preocupante,Baixo Risco
Macaca maura,EN,Em Perigo,Alto Risco
Macaca mulatta,LC,Pouco Preocupante,Baixo Risco
Macaca nemestrina,EN,Em Perigo,Alto Risco
Macaca nigra,CR,Criticamente Ameaçado,Alto Risco
Macaca radiata,VU,Vulnerável,Alto Risco
Macaca silenus,EN,Em Perigo,Alto Risco
